,점포명,위도,경도,OFC
0,GS25송암공단점,35.1090307,126.8783667,오상철
1,GS25대불공단점,34.7662579,126.4384904,조이안
2,GS25영암삼호점,34.7528286,126.4526464,오상철
3,GS25세한대학점,34.7456326,126.4843396,오상철
4,GS25영암시종점,34.8687169,126.6089618,오상철
5,GS25영암학산점,34.7257041,126.5703215,오향은
6,GS25장흥코아루점,34.6839405,126.9117043,임철만
7,GS25장흥병원점,34.6771119,126.9105687,임철만
8,GS25광주노대점,35.1068900,126.9071579,임철만
9,GS25광주기독병원점,35.1371039,126.9140168,임철만
10,GS25광주유보라점,35.1522923,126.8975179,임철만
11,GS25봉선태산점,35.1319804,126.9105518,임철만
12,GS25뉴장흥고점,34.6801651,126.9140594,임철만
13,GS25광주대성점,35.1181488,126.8965145,임철만
14,GS25주월덕산점,35.1261502,126.9056319,임철만
16,GS25건산주공점,34.6838396,126.9038802,임철만
17,GS25주월호반점,35.1296713,126.8919371,임철만
18,GS25광주남구청점,35.1323599,126.9032265,김영남
19,GS25월산중앙점,35.1457470,126.8913277,김영남
20,GS25진월광복마을점,35.1237648,126.8952736,오상철
21,GS25강진서성점,34.6399350,126.7655200,김영남
22,GS25강진칠량점,34.5718140,126.7991196,김영남
23,GS25강진후레쉬점,34.6377816,126.7634423,김영남
24,GS25강진중흥점,34.6422442,126.7837158,김영남
25,GS25월산라인점,35.1426678,126.8955334,김영남
26,GS25강진스타점,34.6369813,126.7694265,김영남
27,GS25송하삼익점,35.1104269,126.8934658,김영남
28,GS25봉선삼익점,35.1234526,126.9128796,김영남
29,GS25강진마량점,34.4495185,126.8185623,김영남
30,GS25송원대학교점,35.1088366,126.8751886,김영남
31,GS25양림주공점,35.1361929,126.9170206,오철승
32,GS25보성군청점,34.7730039,127.0810890,오철승
33,GS25진월삼익점,35.1167898,126.9011077,오철승
34,GS25보성조성점,34.8080461,127.2474773,오철승
35,GS25벌교장좌점,34.8358962,127.3424854,오철승
36,GS25장흥용산점,34.6152906,126.9143631,오철승
37,GS25장흥대덕점,34.4985819,126.8863604,오철승
38,GS25장흥회진점,34.4828151,126.9401819,오철승
39,GS25장흥관산점,34.5632556,126.9387573,오철승
40,GS25월산타운점,35.1461154,126.8889702,오철승
41,GS25봉선중앙점,35.1278694,126.9131316,오상철
42,GS25보성센트럴점,34.7677224,127.0843409,오철승
43,GS25보성해그린점,34.7638388,127.0750257,오철승
44,GS25봉선플러스점,35.1226654,126.9174124,오향은
45,GS25효천행복점,35.1067977,126.8641577,오향은
46,GS25광주대정문점,35.1081976,126.8972717,오향은
47,GS25영암역리점,34.8039724,126.6995971,오향은
48,GS25영암무등점,34.7958351,126.6963894,오향은
49,GS25방림중앙점,35.1314141,126.9232369,오향은
50,GS25주월에이스점,35.1327547,126.8952997,오향은
51,GS25봉선라인점,35.1294190,126.9108500,오향은
52,GS25영암중앙점,34.7988662,126.6973634,오향은
53,GS25HR아팰리스점,35.1237039,126.9073005,오향은
54,GS25삼호LH점,34.7453614,126.4739263,조이안
55,GS25목포3함대점,34.7635052,126.3937977,오상철
56,GS25삼호중흥점,34.7544856,126.4601739,오상철
57,GS25주월클래스점,35.1305970,126.8995039,오상철
58,GS25삼호중앙점,34.7542872,126.4555098,오상철
59,GS25봉선오네뜨점,35.1291384,126.9031400,오철승
60,GS25신북GS점,34.8870546,126.6897067,김영남
61,GS25백운사랑점,35.1350988,126.9013303,오상철
62,GS25삼호현대점,34.7479330,126.3717401,조이안
63,GS25백운헤리시티점,35.1345084,126.9027334,오상철
64,GS25광주대기숙사점,35.1072019,126.8960122,조이안
65,GS25광주대기숙사위성점,35.1072019,126.8960122,조이안
66,GS25광주대호심관점,35.1072019,126.8960122,조이안
67,GS25광주대학생회관점,35.1072019,126.8960122,조이안
68,GS25주월내안애점,35.1337342,126.8982951,조이안
69,GS25광주신우점,35.1388794,126.8965432,조이안
70,GS25대촌오네뜨점,35.0898518,126.8309194,조이안
71,GS25백운중앙점,35.1372547,126.9071804,조이안
72,GS25광주천변로점,35.1447551,126.9130110,조이안
73,GS25백운주공점,35.1407504,126.9033201,조이안
74,GS25고흥도양점,34.5262328,127.1354354,한온
75,GS25서동예다음점,35.1420432,126.9091487,한온
76,GS25고흥금산점,34.4602216,127.1260847,한온
77,GS25고흥녹동중앙점,34.5289274,127.1407440,한온
78,GS25사직스카이점,35.1424085,126.9078520,한온
79,GS25진월하늘점,35.1174711,126.8947396,한온
80,GS25고흥빅리치점,34.6065682,127.2810219,한온
81,GS25봉선무등3차점,35.1244823,126.9185392,한온
82,GS25고흥도덕점,34.5658803,127.1759030,한온
83,GS25고흥도양주공점,34.5284349,127.1438369,한온
84,GS25고흥포두점,34.5702924,127.3412644,한온
85,GS25고흥도화점,34.5087714,127.3218662,한온
86,GS25전남고흥점,34.5998024,127.2774582,한온
87,GS25방림모아점,35.1293589,126.9147420,한온
88,GS25진월센터점,35.1205235,126.8965375,임철만
89,GS25봉선플레이스점,35.1246886,126.9100466,오향은
