,점포명,위도,경도,OFC,일매출
0,GS25대산독곶점,36.9899246,126.3746783,김가람,1274156
1,GS25태안해안점,36.5248404,126.3315265,김가람,1251976
2,GS25안면로드점,36.5321331,126.3499233,김가람,778523
3,GS25서산삼길포점,37.0029271,126.4521593,김가람,883279
4,GS25청포대썬셋점,36.6418334,126.3066122,김가람,588243
5,GS25서산효행길점,36.7792725,126.4564720,김가람,1374974
6,GS25대산센터점,36.9710354,126.4114128,김가람,2319622
7,GS25태안미래점,36.7458634,126.3010765,김가람,2110525
8,GS25태안마검포점,36.6170437,126.3029138,김가람,609701
9,GS25석림주공점,36.7738471,126.4631480,김가람,1656848
10,GS25대산제일점,36.9403762,126.4375437,김가람,3037773
11,GS25서산예천빌점,36.7719877,126.4490062,김가람,1524292
12,GS25서산음암점,36.7894617,126.5054712,김가람,3032263
13,GS25서산병원점,36.7808372,126.5021350,김가람,2213618
14,GS25안면대로점,36.5972604,126.3241167,김연진,862999
15,GS25몽산포길점,36.6721639,126.2883739,김연진,730365
16,GS25뉴안면허브점,36.5175950,126.3457230,김연진,1936859
17,GS25태안안면점,36.5159554,126.3459074,김연진,1986556
18,GS25안면자연점,36.4920962,126.3584897,김연진,961429
19,GS25태안한서대점,36.5908904,126.2956840,김연진,882655
20,GS25서산운산점,36.8115337,126.5802117,김연진,1521788
21,GS25서산아리움점,36.7684018,126.4516307,김연진,1877718
22,GS25태안새빛점,36.7484203,126.3094124,김연진,1110830
23,GS25서산석남점,36.7717614,126.4562121,김연진,1515321
24,GS25서산파크점,36.7747086,126.4500189,김연진,1083820
25,GS25서산효성점,36.7691280,126.4425354,김연진,1949065
26,GS25서산그린점,36.7957078,126.4613754,김연진,2177327
27,GS25당진도비도점,37.0181101,126.4620707,김창연,923474
28,GS25대산한성필점,36.9409214,126.4281886,김창연,735484
29,GS25서산우리점,36.7800402,126.4437360,김창연,1116291
30,GS25삼봉우승마을점,37.0151817,126.5344096,김창연,1791182
31,GS25대산서영점,36.9327103,126.4352133,김창연,1525074
32,GS25당진화력점,37.0497346,126.5049388,김창연,2612403
33,GS25서산엘지점,36.9759722,126.3874127,김창연,3560031
34,GS25서산동문중앙점,36.7781746,126.4625615,김창연,814432
35,GS25서산비발디점,36.7813899,126.4662224,김창연,1147932
36,GS25삼길포항점,37.0005396,126.4526285,김창연,2117822
37,GS25대산미래점,36.9339563,126.4380479,김창연,960815
38,GS25당진왜목마을점,37.0445922,126.5265990,김창연,854680
39,GS25뉴당진발전소점,37.0484223,126.5133681,김창연,1301293
40,GS25서산코아루점,36.7853447,126.4654679,유영빈,2009831
41,GS25서산어울림점,36.8252159,126.4443082,유영빈,2789608
42,GS25서산공군점,36.7005111,126.5056444,유영빈,5424979
43,GS25서산이편한점,36.8221982,126.4527344,유영빈,1199877
44,GS25서산오토밸리점,36.8483184,126.4585041,유영빈,3284257
45,GS25서산행운점,36.7781921,126.4509412,유영빈,2873610
46,GS25서산우미린점,36.8257883,126.4478629,유영빈,1749054
47,GS25대산중앙점,36.9383634,126.4350630,유영빈,1867798
48,GS25대산삼양점,36.9309351,126.4404071,유영빈,1719036
49,GS25서산삼호점,36.9469561,126.4274060,유영빈,1731956
50,GS25대산화곡점,36.9919234,126.4155056,유영빈,2664990
51,GS25서산이안점,36.8240387,126.4505330,유영빈,1378388
52,GS25뉴서산퍼스트점,36.7870960,126.4449970,유영빈,1319115
53,GS25대죽산단점,37.0030867,126.4125751,유영빈,1713601
54,GS25안면백사장항점,36.5860915,126.3177449,이재무,820865
55,GS25뉴안면백사장점,36.5840523,126.3185789,이재무,622647
56,GS25태안빌리지점,36.7494447,126.2987834,이재무,1921224
57,GS25서산엘크루점,36.7710287,126.4652496,이재무,653735
58,GS25서산수림점,36.7854515,126.5217071,이재무,1673957
59,GS25서산푸르지오점,36.7714355,126.4417919,이재무,1498030
60,GS25서산해미점,36.7129061,126.5449863,이재무,3164704
61,GS25안면도점,36.5047500,126.3510559,이재무,976437
62,GS25서산본점,36.7809891,126.4606910,이재무,1565268
63,GS25태안발전소점,36.7523718,126.3185880,이재무,1305442
64,GS25서산청구점,36.7553140,126.4231865,이재무,1808416
65,GS25서산한다리점,36.7384345,126.5168015,이재무,1062754
66,GS25태안백화로점,36.7554654,126.3059269,이재무,1891107
67,GS25서산내안애점,36.7836300,126.4406935,이재무,2129857
68,GS25태안학암포점,36.8982884,126.2053672,이재민,878304
69,GS25서산서령점,36.7905354,126.4591010,이재민,2439087
70,GS25서산주공점,36.7691508,126.4475471,이재민,2046512
71,GS25서산중흥점,36.7642220,126.4515709,이재민,1439970
72,GS25태안원이로점,36.7857200,126.2730119,이재민,588506
73,GS25서산석남스타점,36.7728878,126.4549492,이재민,2394255
74,GS25서산예천점,36.7657413,126.4506169,이재민,737542
75,GS25서산호수현대점,36.7745734,126.4462338,이재민,1835312
76,GS25해송파크빌점,36.7833566,126.2777457,이재민,1207410
77,GS25석림중앙점,36.7757156,126.4603027,이재민,1415289
78,GS25서산호수점,36.7755607,126.4473415,이재민,2567661
79,GS25태안해송점,36.7819851,126.2774389,이재민,2556600
80,GS25서산동문현대점,36.7800448,126.4639595,이재민,1632855
81,GS25한서대정문점,36.6909630,126.5805057,이재민,1683621
82,GS25태안중앙점,36.7497034,126.3037260,이충규,2552355
83,GS25태안신항점,36.6816784,126.1348514,이충규,1501318
84,GS25태안골든베이점,36.7108878,126.1721069,이충규,216765
85,GS25태안만리포점,36.7845165,126.1434713,이충규,1619904
86,GS25태안신동아점,36.7754800,126.2849051,이충규,1145125
87,GS25태안모항항점,36.7750669,126.1330602,이충규,2331293
88,GS25태안어은돌점,36.7531818,126.1294933,이충규,1076017
89,GS25태안안흥항점,36.6803047,126.1527123,이충규,958393
90,GS25뉴서산한성점,36.7747878,126.4657014,이충규,1457732
91,GS25한서대정류소점,36.6901419,126.5765660,이충규,1522048
92,GS25서산아진점,36.7582128,126.4285082,이충규,1939138
93,GS25태안터미널점,36.7477593,126.3034911,이충규,1035651
94,GS25태안코아루점,36.7503722,126.2966692,이충규,1347575
95,GS25중부대학사점,36.1943156,127.4602756,권재관,1407202
96,GS25가양보건점,36.3482963,127.4546327,권재관,1265924
97,GS25보건빌리지점,36.3478908,127.4516846,권재관,1480921
98,GS25가양큰솔점,36.3466440,127.4502684,권재관,1620171
99,GS25동구고운점,36.3501140,127.4446192,권재관,1590950
100,GS25대전석교스타점,36.3104011,127.4398262,권재관,1166979
